icd10_code	icd10_phe
A980	Crimean-Congo hemorrhagic fever
Y651	Wrong fluid used in infusion
A800	Acute paralytic poliomyelitis, vaccine-associated
S63431	Traumatic rupture of volar plate of left index finger at metacarpophalangeal and interphalangeal joint
B66	Other fluke infections
D3A026	Benign carcinoid tumor of the rectum
E7872	Smith-Lemli-Opitz syndrome
M87274	Osteonecrosis due to previous trauma, right foot
T3471	Frostbite with tissue necrosis of right knee and lower leg
I27849	Fontan related circulation, unspecified
I63322	Cerebral infarction due to thrombosis of left anterior cerebral artery
S56402	Unspecified injury of extensor muscle, fascia and tendon of left index finger at forearm level
S68626	Partial traumatic transphalangeal amputation of right little finger
S31622	Laceration with foreign body of abdominal wall, epigastric region with penetration into peritoneal cavity
S93111	Dislocation of interphalangeal joint of right great toe
K767	Hepatorenal syndrome
O4291	Preterm premature rupture of membranes, unspecified as to length of time between rupture and onset of labor
O983	Other infections with a predominantly sexual mode of transmission complicating pregnancy, childbirth and the puerperium
T43293	Poisoning by other antidepressants, assault
Y723	Surgical instruments, materials and otorhinolaryngological devices (including sutures) associated with adverse incidents
E7152	X-linked adrenoleukodystrophy
H401	Open-angle glaucoma
H442E2	Degenerative myopia with other maculopathy, left eye
T483	Poisoning by, adverse effect of and underdosing of antitussives
R2989	Other symptoms and signs involving the musculoskeletal system
M66372	Spontaneous rupture of flexor tendons, left ankle and foot
C44510	Basal cell carcinoma of anal skin
V4343	Person boarding or alighting a car injured in collision with pick-up truck
F19229	Other psychoactive substance dependence with intoxication, unspecified
M85412	Solitary bone cyst, left shoulder
M8502	Fibrous dysplasia (monostotic), upper arm
B429	Sporotrichosis, unspecified
H2004	Secondary noninfectious iridocyclitis
H43819	Vitreous degeneration, unspecified eye
K143	Hypertrophy of tongue papillae
S83282	Other tear of lateral meniscus, current injury, left knee
H53429	Scotoma of blind spot area, unspecified eye
H8013	Otosclerosis involving oval window, obliterative, bilateral
T71221	Asphyxiation due to being trapped in a car trunk, accidental
L97408	Non-pressure chronic ulcer of unspecified heel and midfoot with other specified severity
F14259	Cocaine dependence with cocaine-induced psychotic disorder, unspecified
H44442	Primary hypotony of left eye
T473X5	Adverse effect of saline and osmotic laxatives
A529	Late syphilis, unspecified
M00	Pyogenic arthritis
M85032	Fibrous dysplasia (monostotic), left forearm
C269	Malignant neoplasm of ill-defined sites within the digestive system
H01006	Unspecified blepharitis left eye, unspecified eyelid
N6459	Other signs and symptoms in breast
S82223	Displaced transverse fracture of shaft of unspecified tibia
S42253	Displaced fracture of greater tuberosity of unspecified humerus
M88839	Osteitis deformans of unspecified forearm
S02102	Fracture of base of skull, left side
S63413	Traumatic rupture of collateral ligament of left middle finger at metacarpophalangeal and interphalangeal joint
V349	Unspecified occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident
B675	Echinococcus multilocularis infection of liver
M2362	Other spontaneous disruption of posterior cruciate ligament of knee
S53006	Unspecified dislocation of unspecified radial head
S82402	Unspecified fracture of shaft of left fibula
B970	Adenovirus as the cause of diseases classified elsewhere
Q742	Other congenital malformations of lower limb(s), including pelvic girdle
S00402	Unspecified superficial injury of left ear
H43812	Vitreous degeneration, left eye
Q643	Other atresia and stenosis of urethra and bladder neck
V635	Driver of heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident
H405	Glaucoma secondary to other eye disorders
A4154	Sepsis due to Acinetobacter baumannii
T426X4	Poisoning by other antiepileptic and sedative-hypnotic drugs, undetermined
M0084	Arthritis due to other bacteria, hand
X32	Exposure to sunlight
K08539	Fractured dental restorative material, unspecified
S4105	Open bite of shoulder
K4110	Bilateral femoral hernia, with gangrene, not specified as recurrent
D6182	Myelophthisis
I6931	Cognitive deficits following cerebral infarction
S0006	Insect bite (nonvenomous) of scalp
S63275	Dislocation of unspecified interphalangeal joint of left ring finger
H4930	Total (external) ophthalmoplegia, unspecified eye
S63291	Dislocation of distal interphalangeal joint of left index finger
I309	Acute pericarditis, unspecified
M0565	Rheumatoid arthritis of hip with involvement of other organs and systems
S31824	Puncture wound with foreign body of left buttock
O0961	Supervision of young primigravida
V363	Unspecified occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle in nontraffic accident
V702	Person on outside of bus injured in collision with pedestrian or animal in nontraffic accident
M61372	Calcification and ossification of muscles associated with burns, left ankle and foot
M830	Puerperal osteomalacia
I70791	Other atherosclerosis of other type of bypass graft(s) of the extremities, right leg
S99191	Other physeal fracture of right metatarsal
S70251	Superficial foreign body, right hip
Z013	Encounter for examination of blood pressure
S1181	Laceration without foreign body of other specified part of neck
V0610	Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident
S89032	Salter-Harris Type III physeal fracture of upper end of left tibia
M10269	Drug-induced gout, unspecified knee
O99281	Endocrine, nutritional and metabolic diseases complicating pregnancy, first trimester
S82253	Displaced comminuted fracture of shaft of unspecified tibia
S61051	Open bite of right thumb without damage to nail
M65972	Unspecified synovitis and tenosynovitis, left ankle and foot
M9912	Subluxation complex (vertebral) of thoracic region
D3A023	Benign carcinoid tumor of the transverse colon
M9942	Connective tissue stenosis of neural canal of thoracic region
N470	Adherent prepuce, newborn
Y92114	Garage of children's home and orphanage as the place of occurrence of the external cause
M47812	Spondylosis without myelopathy or radiculopathy, cervical region
S53136	Medial dislocation of unspecified ulnohumeral joint
S46302	Unspecified injury of muscle, fascia and tendon of triceps, left arm
T421X3	Poisoning by iminostilbenes, assault
G71039	Limb girdle muscular dystrophy, unspecified
G82	Paraplegia (paraparesis) and quadriplegia (quadriparesis)
S42432	Displaced fracture (avulsion) of lateral epicondyle of left humerus
S85111	Laceration of unspecified tibial artery, right leg
M84312	Stress fracture, left shoulder
G301	Alzheimer's disease with late onset
H02736	Vitiligo of left eye, unspecified eyelid and periocular area
H02873	Vascular anomalies of right eye, unspecified eyelid
S20359	Superficial foreign body of unspecified front wall of thorax
T50A14	Poisoning by pertussis vaccine, including combinations with a pertussis component, undetermined
H359	Unspecified retinal disorder
M65919	Unspecified synovitis and tenosynovitis, unspecified shoulder
S1312	Subluxation and dislocation of C1/C2 cervical vertebrae
M2196	Unspecified acquired deformity of lower leg
O36812	Decreased fetal movements, second trimester
T45513	Poisoning by anticoagulants, assault
M9511	Cauliflower ear, right ear
C8394	Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of axilla and upper limb
E096	Drug or chemical induced diabetes mellitus with other specified complications
L97519	Non-pressure chronic ulcer of other part of right foot with unspecified severity
M048	Other autoinflammatory syndromes
Y36510	War operations involving direct blast effect of nuclear weapon, military personnel
S6052	Blister (nonthermal) of hand
D0921	Carcinoma in situ of right eye
T8421	Breakdown (mechanical) of internal fixation device of other bones
V818	Occupant of railway train or railway vehicle injured in other specified railway accidents
D3502	Benign neoplasm of left adrenal gland
M05742	Rheumatoid arthritis with rheumatoid factor of left hand without organ or systems involvement
S62654	Nondisplaced fracture of middle phalanx of right ring finger
T2240	Corrosion of unspecified degree of shoulder and upper limb, except wrist and hand, unspecified site
V9421	Rider of nonpowered watercraft struck by other nonpowered watercraft
M07661	Enteropathic arthropathies, right knee
S0190	Unspecified open wound of unspecified part of head
B462	Gastrointestinal mucormycosis
M65842	Other synovitis and tenosynovitis, left hand
R627	Adult failure to thrive
Y9284	Military training ground as the place of occurrence of the external cause
Y24	Other and unspecified firearm discharge, undetermined intent
Z38	Liveborn infants according to place of birth and type of delivery
D48116	Desmoid tumor of lower extremity and pelvic girdle
T63631	Toxic effect of contact with sea anemone, accidental (unintentional)
V213	Person boarding or alighting a motorcycle injured in collision with pedal cycle
T405X	Poisoning by, adverse effect of and underdosing of cocaine
H5300	Unspecified amblyopia
L97802	Non-pressure chronic ulcer of other part of unspecified lower leg with fat layer exposed
F01518	Vascular dementia, unspecified severity, with other behavioral disturbance
S27409	Unspecified injury of bronchus, unspecified
K5502	Acute infarction of small intestine
S85151	Other specified injury of anterior tibial artery, right leg
S68113	Complete traumatic metacarpophalangeal amputation of left middle finger
T83010	Breakdown (mechanical) of cystostomy catheter
O41101	Infection of amniotic sac and membranes, unspecified, first trimester
M06342	Rheumatoid nodule, left hand
D494	Neoplasm of unspecified behavior of bladder
Z807	Family history of other malignant neoplasms of lymphoid, hematopoietic and related tissues
S96922	Laceration of unspecified muscle and tendon at ankle and foot level, left foot
L44	Other papulosquamous disorders
D68023	Von Willebrand disease, type 2N
S46919	Strain of unspecified muscle, fascia and tendon at shoulder and upper arm level, unspecified arm
M12	Other and unspecified arthropathy
M948X4	Other specified disorders of cartilage, hand
T81503	Unspecified complication of foreign body accidentally left in body following injection or immunization
T486X3	Poisoning by antiasthmatics, assault
V419	Unspecified car occupant injured in collision with pedal cycle in traffic accident
H59221	Accidental puncture and laceration of right eye and adnexa during other procedure
M87842	Other osteonecrosis, left hand
T3440	Frostbite with tissue necrosis of unspecified arm
O2241	Hemorrhoids in pregnancy, first trimester
M8713	Osteonecrosis due to drugs of radius, ulna and carpus
M9941	Connective tissue stenosis of neural canal of cervical region
